dm,cod_ine
santa cruz - san julian,71104
santa cruz - san matias,71201
santa cruz - san miguel de velasco,70302
santa cruz - san pedro,71005
santa cruz - san rafael,70303
santa cruz - san ramon,71103
santa cruz - santa cruz de la sierra,70101
santa cruz - santa rosa del sara,70602
santa cruz - trigal,70802
santa cruz - urubicha,71502
santa cruz - vallegrande,70801
santa cruz - warnes,70201
santa cruz - yapacani,70403
tarija - bermejo,60202
tarija - carapari,60302
tarija - el puente(tja),60502
tarija - entre rios,60601
tarija - padcaya,60201
tarija - san lorenzo(tja),60501
tarija - tarija,60101
tarija - uriondo (a. concepcion),60401
tarija - villa montes,60303
tarija - yacuiba,60301
tarija - yunchara,60402
