,fecha,departamento,municipio,dosis,vacunacion
9,2021-10-23,Potosí,Mojinete,1,24%
10,2021-10-23,Potosí,San Antonio De Esmoruco,1,27%
11,2021-10-23,Potosí,Chayanta,1,28%
12,2021-10-23,Potosí,Ckochas,1,28%
13,2021-10-23,Potosí,Ocuri,1,29%
14,2021-10-23,Potosí,Puna,1,30%
15,2021-10-23,Potosí,Tacobamba,1,30%
16,2021-10-23,Potosí,Porco,1,31%
17,2021-10-23,Potosí,Llica,1,34%
18,2021-10-23,Potosí,Sacaca,1,34%
19,2021-10-23,Potosí,Tomave,1,34%
20,2021-10-23,Potosí,Arampampa,1,35%
21,2021-10-23,Potosí,Uncia,1,35%
22,2021-10-23,Potosí,S.P.De Quemes,1,36%
23,2021-10-23,Potosí,Yocalla,1,36%
24,2021-10-23,Potosí,San P. De Lipez,1,37%
25,2021-10-23,Potosí,Betanzos,1,38%
26,2021-10-23,Potosí,Chaqui,1,38%
27,2021-10-23,Potosí,Cotagaita,1,38%
28,2021-10-23,Potosí,"Caiza ""D""",1,44%
29,2021-10-23,Potosí,Vitichi,1,48%
30,2021-10-23,Potosí,Caripuyo,1,49%
31,2021-10-23,Potosí,Llallagua,1,55%
32,2021-10-23,Potosí,Tahua,1,57%
33,2021-10-23,Potosí,Villazon,1,66%
34,2021-10-23,Potosí,Uyuni,1,68%
35,2021-10-23,Potosí,"Colcha ""K""",1,69%
36,2021-10-23,Potosí,San Agustin,1,74%
37,2021-10-23,Potosí,Potosí,1,78%
38,2021-10-23,Potosí,Tupiza,1,85%
39,2021-10-23,Potosí,Atocha,1,90%
0,2021-10-23,Cochabamba,Tiraque (Cbba),1,18%
1,2021-10-23,Cochabamba,Tacopaya,1,26%
2,2021-10-23,Cochabamba,Vacas,1,26%
3,2021-10-23,Cochabamba,Bolivar,1,28%
4,2021-10-23,Cochabamba,Pojo (Cbba),1,30%
5,2021-10-23,Cochabamba,Cocapata,1,36%
6,2021-10-23,Cochabamba,Colomi,1,36%
7,2021-10-23,Cochabamba,Vinto,1,37%
8,2021-10-23,Cochabamba,Pasorapa,1,38%
9,2021-10-23,Cochabamba,Mizque,1,39%
10,2021-10-23,Cochabamba,Morochata,1,39%
11,2021-10-23,Cochabamba,Sacaba,1,39%
12,2021-10-23,Cochabamba,Sipe Sipe,1,39%
13,2021-10-23,Cochabamba,Ayopaya (V. De Independencia),1,40%
14,2021-10-23,Cochabamba,Sicaya,1,40%
15,2021-10-23,Cochabamba,Totora(Cbba),1,41%
16,2021-10-23,Cochabamba,Vila Vila,1,41%
17,2021-10-23,Cochabamba,Colcapirhua,1,43%
18,2021-10-23,Cochabamba,Puerto Villarroel,1,43%
19,2021-10-23,Cochabamba,Tiquipaya,1,43%
20,2021-10-23,Cochabamba,Entre Rios,1,44%
21,2021-10-23,Cochabamba,Tapacari,1,45%
22,2021-10-23,Cochabamba,San Benito,1,47%
23,2021-10-23,Cochabamba,Shinaota,1,47%
24,2021-10-23,Cochabamba,Villa Tunari,1,47%
25,2021-10-23,Cochabamba,Villa Rivero,1,48%
26,2021-10-23,Cochabamba,Arani,1,49%
27,2021-10-23,Cochabamba,Chimore,1,49%
28,2021-10-23,Cochabamba,Sacabamba,1,51%
29,2021-10-23,Cochabamba,Toco,1,53%
30,2021-10-23,Cochabamba,Capinota,1,54%
31,2021-10-23,Cochabamba,Alalay,1,56%
32,2021-10-23,Cochabamba,Quillacollo,1,56%
33,2021-10-23,Cochabamba,Arque,1,57%
34,2021-10-23,Cochabamba,Pocona,1,60%
35,2021-10-23,Cochabamba,Aiquile,1,66%
36,2021-10-23,Cochabamba,Tacachi,1,69%
37,2021-10-23,Cochabamba,Cliza,1,72%
38,2021-10-23,Cochabamba,Punata,1,73%
39,2021-10-23,Cochabamba,Arbieto,1,76%
40,2021-10-23,Cochabamba,Anzaldo,1,79%
41,2021-10-23,Cochabamba,Omereque,1,79%
42,2021-10-23,Cochabamba,Tolata,1,90%
43,2021-10-23,Cochabamba,Tarata,1,91%
44,2021-10-23,Cochabamba,Cochabamba,1,96%
45,2021-10-23,Cochabamba,Cuchumuela (V. G. Villarroel),1,98%
46,2021-10-23,Cochabamba,Santivañes,1,130%
0,2021-10-23,Chuquisaca,Presto,1,16%
1,2021-10-23,Chuquisaca,Tarabuco,1,19%
2,2021-10-23,Chuquisaca,Incahuasi,1,20%
3,2021-10-23,Chuquisaca,Poroma,1,20%
4,2021-10-23,Chuquisaca,Tarvita,1,20%
5,2021-10-23,Chuquisaca,Villa Charcas,1,21%
6,2021-10-23,Chuquisaca,Yamparaez,1,25%
7,2021-10-23,Chuquisaca,Sopachuy,1,26%
8,2021-10-23,Chuquisaca,Zudañez,1,28%
9,2021-10-23,Chuquisaca,Mojocoya,1,35%
10,2021-10-23,Chuquisaca,Azurduy,1,37%
11,2021-10-23,Chuquisaca,San Lucas,1,38%
12,2021-10-23,Chuquisaca,Icla,1,39%
13,2021-10-23,Chuquisaca,Culpina,1,41%
14,2021-10-23,Chuquisaca,Tomina,1,47%
15,2021-10-23,Chuquisaca,Yotala,1,49%
16,2021-10-23,Chuquisaca,Las Carreras,1,50%
17,2021-10-23,Chuquisaca,Alcala,1,52%
18,2021-10-23,Chuquisaca,Camataqui (C. Villa Abecia),1,52%
19,2021-10-23,Chuquisaca,El Villar,1,64%
20,2021-10-23,Chuquisaca,Huacaya (Villa De Huacaya),1,64%
21,2021-10-23,Chuquisaca,Camargo,1,69%
22,2021-10-23,Chuquisaca,Machareti,1,71%
23,2021-10-23,Chuquisaca,Villa Serrano,1,74%
24,2021-10-23,Chuquisaca,Villa Vaca Guzman (Muyupampa),1,76%
25,2021-10-23,Chuquisaca,Huacareta,1,83%
26,2021-10-23,Chuquisaca,Padilla,1,84%
27,2021-10-23,Chuquisaca,Sucre,1,85%
28,2021-10-23,Chuquisaca,Monteagudo,1,87%
0,2021-10-23,Tarija,Yunchara,1,49%
1,2021-10-23,Tarija,El Puente(Tja),1,64%
2,2021-10-23,Tarija,Bermejo,1,67%
3,2021-10-23,Tarija,Entre Rios,1,67%
4,2021-10-23,Tarija,Padcaya,1,67%
5,2021-10-23,Tarija,Yacuiba,1,67%
6,2021-10-23,Tarija,Carapari,1,70%
7,2021-10-23,Tarija,Uriondo (A. Concepcion),1,71%
8,2021-10-23,Tarija,San Lorenzo(Tja),1,73%
9,2021-10-23,Tarija,Villa Montes,1,76%
10,2021-10-23,Tarija,Tarija,1,77%
0,2021-10-23,Pando,Ingavi (Humaita),1,21%
1,2021-10-23,Pando,Sena,1,29%
2,2021-10-23,Pando,San Lorenzo(Pnd),1,32%
3,2021-10-23,Pando,San Pedro(Pnd),1,35%
4,2021-10-23,Pando,Bolpebra,1,38%
5,2021-10-23,Pando,Nuevo Manoa (Nueva Esperanza),1,41%
6,2021-10-23,Pando,Eureka (Santos Mercado),1,44%
7,2021-10-23,Pando,Porvenir,1,48%
8,2021-10-23,Pando,Puerto Gonzalo Moreno,1,48%
9,2021-10-23,Pando,Filadelfia,1,49%
10,2021-10-23,Pando,Villa Nueva (Loma Alta),1,51%
11,2021-10-23,Pando,Nacebe (Santa Rosa Del Abuna),1,61%
12,2021-10-23,Pando,Bella Flor,1,63%
13,2021-10-23,Pando,Cobija,1,65%
14,2021-10-23,Pando,Puerto Rico,1,71%
0,2021-10-23,Beni,Exaltacion,1,14%
1,2021-10-23,Beni,Loreto,1,17%
2,2021-10-23,Beni,San Javier(Bni),1,17%
3,2021-10-23,Beni,San Borja,1,23%
4,2021-10-23,Beni,Reyes,1,34%
5,2021-10-23,Beni,Rurrenabaque,1,35%
6,2021-10-23,Beni,San Andres,1,38%
7,2021-10-23,Beni,San Joaquin,1,44%
8,2021-10-23,Beni,Santa Ana,1,44%
9,2021-10-23,Beni,Huaracaje,1,46%
10,2021-10-23,Beni,Magdalena,1,46%
11,2021-10-23,Beni,San Ignacio,1,51%
12,2021-10-23,Beni,Trinidad,1,52%
13,2021-10-23,Beni,Santa Rosa,1,58%
14,2021-10-23,Beni,Puerto Siles,1,59%
15,2021-10-23,Beni,San Ramon,1,61%
16,2021-10-23,Beni,Riberalta,1,70%
17,2021-10-23,Beni,Guayaramerin,1,72%
18,2021-10-23,Beni,Baures,1,74%
0,2021-10-23,Santa Cruz,Yapacani,1,23%
1,2021-10-23,Santa Cruz,Pailon,1,29%
2,2021-10-23,Santa Cruz,San Julian,1,30%
3,2021-10-23,Santa Cruz,San Jose De Chiquitos,1,31%
4,2021-10-23,Santa Cruz,El Puente(Stc),1,32%
5,2021-10-23,Santa Cruz,La Guardia,1,35%
6,2021-10-23,Santa Cruz,Santa Rosa Del Sara,1,35%
7,2021-10-23,Santa Cruz,Charagua,1,36%
8,2021-10-23,Santa Cruz,Ascencion De Guarayos,1,37%
9,2021-10-23,Santa Cruz,Cuatro Cañadas,1,37%
10,2021-10-23,Santa Cruz,Warnes,1,39%
11,2021-10-23,Santa Cruz,Saipina,1,42%
12,2021-10-23,Santa Cruz,Fernandez Alonso,1,43%
13,2021-10-23,Santa Cruz,Urubicha,1,44%
14,2021-10-23,Santa Cruz,San Carlos,1,47%
15,2021-10-23,Santa Cruz,San Pedro,1,47%
16,2021-10-23,Santa Cruz,Pampa Grande,1,51%
17,2021-10-23,Santa Cruz,Cabezas,1,54%
18,2021-10-23,Santa Cruz,San Juan De Yapacani,1,54%
19,2021-10-23,Santa Cruz,San Antonio De Lomerio,1,55%
20,2021-10-23,Santa Cruz,Mairana,1,56%
