,fecha,cod_ine,municipio,departamento,dosis,porcentaje
894,2022-01-22,21303,Ayo Ayo,La Paz,1,47
895,2022-01-22,21303,Ayo Ayo,La Paz,2,35
910,2022-01-22,21401,Coroico,La Paz,1,46
911,2022-01-22,21401,Coroico,La Paz,2,37
926,2022-01-22,21102,Irupana (Villa De Lanza),La Paz,1,43
927,2022-01-22,21102,Irupana (Villa De Lanza),La Paz,2,36
942,2022-01-22,21204,Puerto Perez,La Paz,1,49
943,2022-01-22,21204,Puerto Perez,La Paz,2,36
958,2022-01-22,20201,Achacachi,La Paz,1,61
959,2022-01-22,20201,Achacachi,La Paz,2,40
974,2022-01-22,21003,Cajuata,La Paz,1,50
975,2022-01-22,21003,Cajuata,La Paz,2,42
990,2022-01-22,20203,Chua Cocani,La Paz,1,50
991,2022-01-22,20203,Chua Cocani,La Paz,2,39
1006,2022-01-22,20204,Huarina ,La Paz,1,52
1007,2022-01-22,20204,Huarina ,La Paz,2,38
1022,2022-01-22,21802,Papel Pampa,La Paz,1,48
1023,2022-01-22,21802,Papel Pampa,La Paz,2,39
1038,2022-01-22,20901,Luribay,La Paz,1,56
1039,2022-01-22,20901,Luribay,La Paz,2,42
1054,2022-01-22,20606,Tipuani,La Paz,1,50
1055,2022-01-22,20606,Tipuani,La Paz,2,42
1070,2022-01-22,21304,Calamarca,La Paz,1,54
1071,2022-01-22,21304,Calamarca,La Paz,2,40
1086,2022-01-22,21202,Laja,La Paz,1,60
1087,2022-01-22,21202,Laja,La Paz,2,42
1102,2022-01-22,20102,Palca,La Paz,1,62
1103,2022-01-22,20102,Palca,La Paz,2,43
1118,2022-01-22,21004,Colquiri,La Paz,1,53
1119,2022-01-22,21004,Colquiri,La Paz,2,41
1134,2022-01-22,20405,Escoma,La Paz,1,57
1135,2022-01-22,20405,Escoma,La Paz,2,40
1150,2022-01-22,20206,Huatajata,La Paz,1,53
1151,2022-01-22,20206,Huatajata,La Paz,2,42
1166,2022-01-22,20903,Yaco,La Paz,1,52
1167,2022-01-22,20903,Yaco,La Paz,2,41
1182,2022-01-22,20804,Desaguadero,La Paz,1,60
1183,2022-01-22,20804,Desaguadero,La Paz,2,47
1198,2022-01-22,21103,Yanacachi,La Paz,1,56
1199,2022-01-22,21103,Yanacachi,La Paz,2,48
1214,2022-01-22,21302,Umala,La Paz,1,61
1215,2022-01-22,21302,Umala,La Paz,2,47
1230,2022-01-22,21307,Collana,La Paz,1,53
1231,2022-01-22,21307,Collana,La Paz,2,44
1246,2022-01-22,20802,Guaqui,La Paz,1,64
1247,2022-01-22,20802,Guaqui,La Paz,2,46
1262,2022-01-22,21502,San Buena Ventura,La Paz,1,65
1263,2022-01-22,21502,San Buena Ventura,La Paz,2,59
1278,2022-01-22,20401,Puerto Acosta,La Paz,1,55
1279,2022-01-22,20401,Puerto Acosta,La Paz,2,46
1294,2022-01-22,21702,San Pedro De Tiquina,La Paz,1,57
1295,2022-01-22,21702,San Pedro De Tiquina,La Paz,2,44
1310,2022-01-22,20307,Nazacara De Pacajes,La Paz,1,70
1311,2022-01-22,20307,Nazacara De Pacajes,La Paz,2,51
1326,2022-01-22,21002,Quime,La Paz,1,57
1327,2022-01-22,21002,Quime,La Paz,2,47
1342,2022-01-22,20801,Viacha,La Paz,1,65
1343,2022-01-22,20801,Viacha,La Paz,2,52
1358,2022-01-22,20105,El Alto,La Paz,1,69
1359,2022-01-22,20105,El Alto,La Paz,2,49
1374,2022-01-22,20104,Achocalla,La Paz,1,101
1375,2022-01-22,20104,Achocalla,La Paz,2,70
1390,2022-01-22,20101,La Paz,La Paz,1,116
1391,2022-01-22,20101,La Paz,La Paz,2,101
1406,2022-01-22,40503,Cruz De Machacamarca,Oruro,1,8
1407,2022-01-22,40503,Cruz De Machacamarca,Oruro,2,6
1422,2022-01-22,40502,Escara,Oruro,1,11
1423,2022-01-22,40502,Escara,Oruro,2,9
1438,2022-01-22,40103,El Choro,Oruro,1,21
1439,2022-01-22,40103,El Choro,Oruro,2,18
1454,2022-01-22,41502,Todos Santos,Oruro,1,30
1455,2022-01-22,41502,Todos Santos,Oruro,2,21
1470,2022-01-22,40505,Esmeralda,Oruro,1,28
1471,2022-01-22,40505,Esmeralda,Oruro,2,22
1486,2022-01-22,41503,Carangas,Oruro,1,28
1487,2022-01-22,41503,Carangas,Oruro,2,25
1502,2022-01-22,40903,Chipaya,Oruro,1,30
1503,2022-01-22,40903,Chipaya,Oruro,2,22
1518,2022-01-22,41401,Huari,Oruro,1,30
1519,2022-01-22,41401,Huari,Oruro,2,26
1534,2022-01-22,41001,Toledo,Oruro,1,35
1535,2022-01-22,41001,Toledo,Oruro,2,29
1550,2022-01-22,40801,Salinas De Garci Mendoza,Oruro,1,35
1551,2022-01-22,40801,Salinas De Garci Mendoza,Oruro,2,30
1566,2022-01-22,41501,La Rivera,Oruro,1,34
1567,2022-01-22,41501,La Rivera,Oruro,2,32
1582,2022-01-22,40301,Corque,Oruro,1,48
1583,2022-01-22,40301,Corque,Oruro,2,41
1598,2022-01-22,40202,Santuario De Quillacas,Oruro,1,43
1599,2022-01-22,40202,Santuario De Quillacas,Oruro,2,40
1614,2022-01-22,40901,Sabaya,Oruro,1,49
1615,2022-01-22,40901,Sabaya,Oruro,2,42
1630,2022-01-22,41201,Andamarca,Oruro,1,50
1631,2022-01-22,41201,Andamarca,Oruro,2,43
1646,2022-01-22,41202,Belen De Andamarca,Oruro,1,45
1647,2022-01-22,41202,Belen De Andamarca,Oruro,2,43
1662,2022-01-22,40902,Coipasa,Oruro,1,45
1663,2022-01-22,40902,Coipasa,Oruro,2,42
1678,2022-01-22,40201,Challapata,Oruro,1,58
1679,2022-01-22,40201,Challapata,Oruro,2,44
1694,2022-01-22,40402,Turco,Oruro,1,54
1695,2022-01-22,40402,Turco,Oruro,2,47
1710,2022-01-22,40504,Yunguyo De Litoral,Oruro,1,53
1711,2022-01-22,40504,Yunguyo De Litoral,Oruro,2,47
1726,2022-01-22,40302,Choque Cota,Oruro,1,53
1727,2022-01-22,40302,Choque Cota,Oruro,2,48
1742,2022-01-22,40601,Poopo,Oruro,1,60
1743,2022-01-22,40601,Poopo,Oruro,2,48
1758,2022-01-22,40102,Caracollo,Oruro,1,63
1759,2022-01-22,40102,Caracollo,Oruro,2,50
1774,2022-01-22,40802,Pampa Aullagas,Oruro,1,59
1775,2022-01-22,40802,Pampa Aullagas,Oruro,2,51
1790,2022-01-22,40602,Pazña,Oruro,1,60
